"","Aoteapsyche sp1 FW_013_05","Aphrophila noevaezelandiae","Archicaulioides diversus","Austraclima jollyae","Austrosimulium australense","Costachorema xanthoptera","Cricotopus I","Cricotopus II","Deleatidium sp1 FW_013_05","Eukiefiriella","Heliopsyche albescens","Hexatomini sp1 FW_013_05","Hydora nitida larvae","Hydraena homalaena Type H1","Hydraena homalaena Type H2","Hydraena orchymontia","Hydrobiosella sp1 FW_013_05","Hydrobiosid sp1 FW_013_05","Larsia I","Maoridiamesea","Naonella","Oligochaeta type II","Olinga feredayi","Orthoclad sp1 FW_013_05","Oxyethira albiceps","Paroxyethira eatoni","Pirara","Podonomus","Polypedellum","Psilachorema bidens","Salmo trutta","Scirtid sp1 FW_013_05","Scirtid sp2 FW_013_05","Scirtid sp3 FW_013_05","Tanypodini","Tanytarsini I","Tanytarsini II","Zelandoperla sp1 FW_013_05","Zelandoperla sp2 FW_013_05","Zelolessica cheira"
"Pirara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Podonomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psilachorema bidens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Rhoicosphenia curvata",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rhopalodia novae zelandicae",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Scirtid sp3 FW_013_05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sephanodiscus sp1 FW_013_05",1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
"Surirella tenera",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Synedra rumpens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Synedra ulna",1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1
"Tabellaria flocculosa",1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
"Tanytarsini I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Terrestrial Invertebrates",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Zelandoperla sp1 FW_013_05",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zelandoperla sp2 FW_013_05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zelolessica cheira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
